source_id,name_he,name_en,url,publisher,category,subcategory,legal_domains,primary_or_secondary,official,access,commercial,historical_coverage,content_types,full_text,metadata_availability,search_available,api_available,api_type,feeds,formats,bulk_download,auth_required,paywall,captcha,robots_policy,terms_status,license_status,rag_permission,update_frequency,last_observed_update,hebrew_quality,stability,reliability_score,authority_score,legal_risk,technical_difficulty,priority_recommendation,recommended_ingestion,verified,example_documents,notes,current_integration_status,owner,validation_source,last_reviewed
LSR-011,פורום קהלת,Kohelet Policy Forum,https://www.kohelet.org.il/,Kohelet Policy Forum,E-open-secondary,research-institute,constitutional; judicial-reform; regulation; economic-law,secondary,false,"open - policy papers freely downloadable, no registration",false,Founded 2012; policy papers 2012-2026 incl. judicial-reform materials,policy-papers; position-papers; opinion-articles; data-analyses,yes - PDFs downloadable without paywall,moderate - publication pages with author/date,true,false,none,unknown,PDF; HTML,no,no,no,no,allowed (fetch succeeded),no explicit copyright statement observed on homepage,unknown (no CC observed; assume all-rights-reserved),unknown,weekly-monthly,"2026-07 (current content incl. education, broadcasting regulation, judicial reform papers)",native-excellent,stable,75,70,medium (unknown license); note politically contested source - flag perspective in metadata,low,P2,crawl policy-paper PDFs + metadata; tag ideological orientation for balanced retrieval,url_opened,Judicial reform policy papers; regulation and free-market legal analyses,Influential conservative/libertarian think tank (architect of 2023 judicial-overhaul proposals). Pair with IDI/Zulat for viewpoint balance. | rag_permission detail: unclear,not integrated,LawME (founder),academic.json,2026-07-11
LSR-012,המכון למחקרי ביטחון לאומי (INSS),Institute for National Security Studies (INSS),https://www.inss.org.il/,"Institute for National Security Studies, Tel Aviv University-affiliated",E-open-secondary,research-institute,national-security-law; international-law; law-of-armed-conflict; cyber-law,secondary,false,open - publications freely accessible on site,false,"INSS (since 2006, successor to JCSS 1977); publications archive with Insights, memoranda, Strategic Assessment journal",research-papers; policy-briefs (INSS Insight); memoranda; journal (Strategic Assessment); books; surveys; dashboards,yes - publications readable/downloadable on site,good - publication archive with filters by topic/type,true,false,none,unknown,HTML; PDF,no,no,no,no,allowed (fetch succeeded),privacy policy and terms of use page exists; details not reviewed,all-rights-reserved presumed (no CC observed),unknown,multiple publications/week,2026-07 (active),native-excellent (bilingual he/en),stable,82,80,low-medium,low,P2,ingest only 'Law and National Security' research-area publications to keep corpus legally focused,url_opened,Law and National Security program papers; judicial-overhaul analyses; Strategic Assessment articles,Only the legal research program is in scope; most INSS output is strategic/military rather than legal. | rag_permission detail: unclear,not integrated,LawME (founder),academic.json,2026-07-11
LSR-013,מכון זולת לשוויון וזכויות אדם,Zulat Institute for Equality and Human Rights,https://zulat.org.il/,Zulat - for Equality and Human Rights (registered NGO 580679371),E-open-secondary,research-institute,human-rights; constitutional; anti-discrimination; protest-law,secondary,false,open - position papers and reports published on site,false,Founded 2020; position papers 2020-2026 (e.g. fake news & human rights 2021; legal infrastructure of protest suppression 2024),position-papers; policy-reports; legislative-analysis; knesset-testimony; bill-proposals,"yes - reports, position papers, legislative proposals and Knesset testimony freely accessible on site",moderate - WordPress category pages (ניירות עמדה),true,false,none,unknown (WordPress default RSS likely),HTML; PDF,no,no,no,no,allowed (fetch succeeded),no explicit copyright statement observed on homepage,unknown (assume all-rights-reserved),unknown,monthly approx.,2024-03 report observed in search results,native-excellent,stable,65,55,medium (unknown license); advocacy NGO - flag perspective,low,P3,crawl ניירות-עמדה category; tag as progressive advocacy research for viewpoint balance,url_opened,https://zulat.org.il/category/פרסומים/ניירות-עמדה/ ; 'התשתית החוקית לדיכוי מחאה והפגנות בישראל' (2024),"Left-leaning human-rights think tank (counterweight to Kohelet). Verification limited by fetch-proxy rate limiting, not by the site. | rag_permission detail: unclear",not integrated,LawME (founder),academic.json,2026-07-11
LSR-014,"מרכז המחקר והמידע של הכנסת (ממ""מ)",Knesset Research and Information Center (RIC / MMM),https://www.knesset.gov.il/mmm/,The Knesset,E-open-secondary,parliamentary-research,legislation; comparative-law; public-policy; budget-law; general,secondary,true,open - all reports freely downloadable as PDF,false,"RIC founded 2000; thousands of research documents 2000-2026, searchable at main.knesset.gov.il/Activity/Info/Research/pages/search.aspx",research-reports; comparative-law-surveys; data-briefs; legislative-background-papers,yes - PDF reports,good - document search with date/topic/author,true,false,"none (Knesset OData API covers parliamentary data, not clearly MMM docs)",unknown,PDF,no (but Knesset open-data initiatives exist),no,no,no,"reachable but hostile to bots: www.knesset.gov.il/mmm returned HTTP 474 (WAF), search page (SharePoint) returns JS-only empty content to fetchers",Knesset site terms; government work,state-produced content; broad reuse customary for Knesset documents but no explicit open license verified,unknown,several documents/week during Knesset activity,unknown (pages reached but content JS-rendered),native-excellent,stable,88,92,low,high (WAF returns 474 to bots; SharePoint search is JS-rendered),P1,harvest via document search page (needs JS-capable crawler); deduplicate with parliamentary-sources registry section (overlap noted),partial,"Comparative legislation surveys, e.g. reports cited in bill explanatory notes; search portal main.knesset.gov.il/Activity/Info/Research/pages/search.aspx","OVERLAP: likely also covered in the parliamentary/primary-sources section of the registry - keep single canonical entry. Gateway blocked direct fetch of knesset.gov.il this session; existence and open PDF access are well established. | rag_permission detail: likely-yes (official parliamentary research, publicly distributed) - confirm terms",not integrated,LawME (founder),academic.json,2026-07-11
LSR-015,מבקר המדינה ונציב תלונות הציבור,State Comptroller and Ombudsman of Israel,https://www.mevaker.gov.il/,Office of the State Comptroller and Ombudsman,E-open-secondary,state-audit,administrative; public-integrity; governance; public-finance,secondary,true,"open - audit reports in digital library, organized by subject",false,Annual and special audit reports; recent content through 2026 (incl. October 7 audits); digital library depth for older decades unknown,audit-reports; special-reports; ombudsman-annual-reports,yes - full reports in digital library,good - subject-organized report library,true,false,none observed (data.gov.il may hold some datasets),unknown,PDF; HTML,no,no,no,no,allowed (fetch succeeded),terms-of-use page exists (תנאי שימוש); details not reviewed,state-produced official reports; no explicit open license verified,unknown,several major reports/year plus rolling special reports,2026 (reports addressing 2025-2026 events visible),native-excellent,stable,90,95,low,low-medium,P1,crawl digital library by subject; reports are citable authority in administrative-law contexts,url_opened,Audit reports by subject (דוחות הביקורת לפי נושאים); October 7 special audit series,Borderline academic - included as official research/oversight literature frequently cited in legal scholarship and litigation. | rag_permission detail: likely-yes (official public audit reports) - confirm site terms,not integrated,LawME (founder),academic.json,2026-07-11
LSR-016,ארכיון המדינה,Israel State Archives,https://www.archives.gov.il/,Israel State Archives (Prime Minister's Office),E-open-secondary,state-archive,legal-history; constitutional-history; government-records,primary (historical records) with secondary finding aids,true,open - online search over digitized collections; some files require reading-room/declassification process,false,"Mandate era to present; 257 million scanned pages, 375k images, audio/video; includes government legal files, cabinet minutes, historic legislation records",archival-documents; scanned-files; finding-aids; photographs; audio-video,partial - massive digitization but OCR/full-text search quality varies; many files scanned images only,good - catalog with basic and advanced search,true,false,unknown (no public API documented),none,PDF (scans); JPEG; audio; video,no,no (for online viewing),no,unknown,allowed (fetch succeeded),terms of use referenced; 'All rights reserved to the State Archives 2026' footer,"mixed - state records generally reusable, but archive asserts rights; per-file copyright varies (third-party materials)",unknown,continuous digitization/declassification releases,2026 (footer),native (historical documents include multiple languages),medium (site sections 'under construction' during check),82,95,low-medium,"high (scan-image corpus, weak OCR, no API)",P3,index catalog metadata for legal-history retrieval; defer document-image ingestion,url_opened,Declaration of Independence drafts; cabinet minutes; Mandate-era legal records,Court-history/legal-history value (e.g. drafting history of Basic Laws). Not a scholarship source per se. | rag_permission detail: unclear - metadata yes; document images case-by-case,not integrated,LawME (founder),academic.json,2026-07-11
LSR-017,"סדרת מאמרי SSRN - הפקולטה למשפטים, האוניברסיטה העברית (ומאמרי משפט ישראליים ב-SSRN)",SSRN - Hebrew University of Jerusalem Legal Studies Research Paper Series (and Israeli law papers on SSRN),https://en.law.huji.ac.il/book/ssrn,SSRN (Elsevier) / Hebrew University of Jerusalem Faculty of Law,E-open-secondary,preprint-repository,general; legal-theory; empirical-legal-studies; comparative-law,secondary,false,open - most papers free to download from papers.ssrn.com (free account sometimes prompted),true,HUJI law series and Israeli-authored papers from ~2000s to present; SSRN also hosts Hebrew Research Network (HRN) with Hebrew-language papers,working-papers; preprints; accepted-manuscripts,"yes - author-uploaded PDFs, mostly free","excellent - structured metadata, abstracts (Hebrew+English), JEL codes",true,false,none public (SSRN has no open API; scraping prohibited by ToS),email digests; limited RSS,PDF,no (prohibited),no for browsing; account sometimes required for download,no,yes (Cloudflare on papers.ssrn.com at times),restrictive on papers.ssrn.com; faculty index page on en.law.huji.ac.il was unreachable to our fetcher this session,SSRN ToS prohibit systematic downloading/scraping,author-retained copyright; no blanket reuse license,unknown,continuous,unknown (index page not opened this session),good (HRN hosts Hebrew abstracts/papers; interface English),stable,80,85,high for scraping (explicit ToS prohibition),"high (Cloudflare, ToS)",Research-only,link-out + manual metadata curation only; no bulk harvesting,search_result_only,"HUJI ILF research paper series page (en.law.huji.ac.il/book/ssrn); Hebrew Research Network (ssrn.com/index.cfm/en/hrn/); e.g. Zamir, 'Towards an Integrative Legal Scholarship' (SSRN 2404242)",Best single point for Israeli legal scholarship preprints incl. Hebrew papers (HRN). HUJI faculty index page timed out to bots; SSRN itself is Cloudflare-protected. | rag_permission detail: no for bulk full text (ToS); metadata/abstract linking acceptable,not integrated,LawME (founder),academic.json,2026-07-11
LSR-018,"מפתח חיפה למאמרים (המפתח למאמרים בעברית, IHP)",IHP - Index to Hebrew Periodicals (Haifa Index),https://lib.haifa.ac.il/en/ihp/,"University of Haifa Library (Younes & Soraya Nazarian Library), on ExLibris/Primo infrastructure",E-open-secondary,bibliographic-index,general (indexes all Hebrew periodicals incl. all major law journals),secondary,false,subscription - institutional/public-library/school login portals; not open to anonymous public,true,Indexes Hebrew periodical articles since 1977 (retrospective coverage varies); includes Israeli law reviews,bibliographic-records; article-metadata,no - index only (some records link to full text elsewhere),excellent - structured bibliographic records with subject headings,true,false,Primo/ExLibris APIs exist for subscribers; no public API,none,database records,no,yes,yes (subscription),no,n/a (login-gated),subscription agreement governs use,proprietary database,unknown,ongoing indexing,unknown,native-excellent (authoritative Hebrew subject indexing),stable,85,80,high without subscription/license,high,License-needed,consider subscription for metadata enrichment of Hebrew law-journal citations; do not scrape,url_opened,Login portal page listing university/public/school access; journal and monograph lists; contact ihp@univ.haifa.ac.il,"The de-facto citation index for Hebrew legal literature. Useful for building a bibliography layer, not a text corpus. | rag_permission detail: no without license",not integrated,LawME (founder),academic.json,2026-07-11
LSR-019,"רמב""י - רשימת מאמרים במדעי היהדות",RAMBI - Index of Articles on Jewish Studies (National Library of Israel),https://www.nli.org.il/en/research-and-teach/catalogs/bibliographic-databases/rambi,National Library of Israel,E-open-secondary,bibliographic-index,jewish-law (Mishpat Ivri); legal-history; religion-and-state,secondary,false,open - free bibliographic search via NLI catalog interface,false,"Founded 1966 by Dr. Issachar Joel; print vols. 1-50 until 2000, converted to online; ~350,000 records by 2013; updated daily; includes Halakhah/Jewish-law scholarship worldwide",bibliographic-records; article-metadata,no - index only,excellent - MARC-based records in NLI catalog (Primo),true,true,NLI open-library APIs / OAI-PMH and Primo search APIs cover NLI catalog data (RAMBI records included; confirm scope with NLI),RSS service historically offered (web.nli.org.il rambi-rss page),MARC; database records,unknown (NLI provides data services on request),no,no,no,allowed (fetch succeeded),NLI site terms,bibliographic metadata - generally low-restriction; NLI asserts site copyright,unknown,ongoing indexing,unknown,native-excellent,stable,85,88,low (metadata),medium,P2,use for Mishpat-Ivri/legal-history bibliography enrichment via NLI APIs,url_opened,RAMBI info page at NLI; legacy RSS page web.nli.org.il/.../rambi-rss.aspx; library guides at BIU law library,Key for Jewish-law (משפט עברי) scholarship coverage that general legal indexes miss. NLI also digitizes historical Israeli legal journals (JPress etc.). | rag_permission detail: likely-yes for metadata (facts/bibliography); confirm NLI data-reuse policy,not integrated,LawME (founder),academic.json,2026-07-11
LSR-020,עבודות דוקטור של האוניברסיטה העברית (רשימת תלמידי מחקר),Hebrew University Doctoral Dissertations Listing / HUJI open-access resources,https://www.huji.ac.il/htbin/doctors/index.cgi,Hebrew University of Jerusalem,E-open-secondary,institutional-repository,general; legal-theory (law-faculty dissertations),secondary,false,"open listing; full-text availability per dissertation varies (many theses deposited at NLI or library catalog, access restrictions common)",false,unknown - legacy CGI listing of research-student doctoral works,dissertations; thesis-metadata,unknown - listing verified only via search; Israeli universities lack a unified open thesis repository,basic,true,false,none,none,HTML; PDF (where deposited),no,no,no,unknown,unknown - huji.ac.il unreachable via our egress gateway this session,unknown,author copyright; no blanket license,unknown,unknown,unknown,native,low (legacy CGI system),55,80,medium,high,Research-only,do not ingest; use NLI theses collection and library catalogs for dissertation discovery instead,search_result_only,Doctoral works listing CGI; HUJI open-access LibGuide (huji-il.libguides.com/c.php?g=859434),"IMPORTANT FINDING: no Israeli university (TAU/HUJI/BIU/Haifa) operates a true open institutional repository with OAI-PMH for law theses/articles - open-access presence is via journals' own sites, SSRN, and NLI deposits. TAU library pages describe OA publishing support but no public IR. | rag_permission detail: no for full text without per-work check",not integrated,LawME (founder),academic.json,2026-07-11
LSR-021,מרכז מינרבה לחקר שלטון החוק במצבי קיצון (אוניברסיטת חיפה),Minerva Center for the Rule of Law under Extreme Conditions - University of Haifa,https://minervaxtremelaw.haifa.ac.il/,"University of Haifa (Minerva Center, with University of Hamburg)",E-open-secondary,university-research-center,emergency-law; rule-of-law; disaster-law; national-security-law,secondary,false,open - research publications listed/linked on center site,false,"Center active since 2014; publications page aggregates researcher output (articles, reports, working papers)",research-publications; working-papers; reports; newsletters,partial - mix of open PDFs and links to journal-published (paywalled) versions,moderate,false,false,none,unknown,HTML; PDF,no,no,no (site itself),no,allowed (fetch of research-publications page succeeded),unknown,mixed - per-publication,unknown,irregular,unknown,good (much output in English),medium,65,75,medium,medium,P3,index publications list; ingest only openly hosted PDFs,url_opened,https://minervaxtremelaw.haifa.ac.il/research-publications/ (alphabetical author bibliography; many items 'Available at SSRN'),"Niche but high-value for emergency powers / wartime law - a live topic in Israeli law. Publications page is largely a bibliography linking out (SSRN, journals); multilingual (EN/HE/DE). | rag_permission detail: unclear",not integrated,LawME (founder),academic.json,2026-07-11
